timestamp,heartrate,rmssd,sdnn,alpha1,filtered,samples,droppedPercent
1622965427473,,16,,1.14,3,134,2
1622965429360,,16,,1.05,2,136,2
1622965429486,,15,,1.05,2,135,1
1622965430453,,15,,1.05,2,135,1
1622965431444,,15,,1.05,1,136,1
1622965432434,,15,,1.05,1,136,1
1622965433412,,15,,1.05,1,136,1
1622965434400,,14,,1.05,1,136,1
1622965436262,,14,,1.05,1,137,1
1622965436406,,14,,1.05,1,137,1
1622965437385,,14,,1.05,1,136,1
1622965438381,,14,,1.05,1,136,1
1622965439381,,14,,1.05,1,136,1
1622965440351,,14,,1.05,1,136,1
1622965442168,,14,,1.05,1,137,1
1622965442812,,14,,1.05,1,136,1
1622965443805,,14,,1.05,1,136,1
1622965444794,,14,,1.05,1,136,1
1622965445795,,14,,1.05,1,136,1
1622965446798,,14,,1.05,1,135,1
1622965447828,,14,,1.05,1,135,1
1622965449690,,14,,1.24,1,136,1
1622965449780,,14,,1.24,1,136,1
1622965450726,,15,,1.24,1,136,1
1622965451718,,15,,1.24,1,136,1
1622965452695,,15,,1.24,1,136,1
1622965454498,,15,,1.24,1,137,1
1622965454670,,15,,1.24,1,137,1
1622965455684,,15,,1.24,1,136,1
1622965456662,,15,,1.24,1,136,1
1622965457687,,15,,1.24,1,136,1
1622965459674,,15,,1.24,1,135,1
1622965460561,,14,,1.24,1,137,1
1622965460650,,14,,1.24,1,137,1
1622965461647,,14,,1.24,1,137,1
1622965462607,,14,,1.24,1,136,1
1622965463575,,14,,1.24,1,137,1
1622965465376,,14,,1.24,1,138,1
1622965465510,,15,,1.24,1,138,1
1622965466470,,15,,1.24,1,138,1
1622965467511,,15,,1.24,1,138,1
1622965468564,,15,,1.37,2,137,1
1622965470495,,17,,1.37,2,138,1
1622965470568,,17,,1.37,2,137,1
1622965472040,,18,,1.37,2,136,1
1622965472509,,18,,1.37,2,137,1
1622965473509,,18,,1.37,2,137,1
1622965475275,,18,,1.37,2,138,1
1622965475467,,18,,1.37,2,138,1
1622965476459,,18,,1.37,2,139,1
1622965477480,,18,,1.37,2,138,1
1622965478467,,18,,1.37,2,137,1
1622965480268,,18,,1.37,2,138,1
1622965480424,,18,,1.37,2,138,1
1622965481417,,18,,1.37,2,138,1
1622965482418,,18,,1.37,2,138,1
1622965483393,,18,,1.37,2,138,1
1622965485385,,18,,1.37,2,136,1
1622965485415,,18,,1.37,2,137,1
1622965487289,,18,,1.37,2,138,1
1622965487424,,18,,1.37,2,138,1
1622965488422,,18,,1.35,2,138,1
1622965489441,,18,,1.35,2,138,1
1622965490428,,18,,1.35,2,138,1
1622965491904,,18,,1.35,2,137,1
1622965492868,,18,,1.35,2,136,1
1622965493849,,18,,1.35,2,136,1
1622965494841,,18,,1.35,2,136,1
1622965495813,,18,,1.35,2,136,1
1622965497698,,18,,1.35,2,137,1
1622965497773,,18,,1.35,2,137,1
1622965498771,,18,,1.35,2,137,1
1622965499747,,18,,1.35,2,137,1
1622965500724,,18,,1.35,2,138,1
1622965501695,,18,,1.35,2,137,1
1622965503521,,18,,1.35,2,137,1
1622965503728,,18,,1.35,3,136,1
1622965504721,,19,,1.35,3,136,2
1622965505714,,19,,1.35,3,136,2
1622965506711,,19,,1.35,3,136,2
1622965507692,,19,,1.35,3,136,2
1622965508684,,17,,1.36,3,135,2
